lambda,0.5,0.4,0.3,0.2,0.12,0.06,0.03,0.017,0.01
kodim01,25.3320548786 ,26.3447036896 ,27.4653392971 ,28.9911064484 ,30.8757894976 ,33.6654738534 ,36.1636168284 ,38.1187426003 ,39.7719955822 
kodim02,29.1496626265 ,29.9639094559 ,30.8176119617 ,31.7566353236 ,33.0236682928 ,34.9266485299 ,37.0398587149 ,38.6541985345 ,40.2005005499 
kodim03,30.6000462495 ,31.5382000646 ,32.5665767380 ,33.9104450066 ,35.3758187887 ,37.4891566406 ,39.3487317655 ,40.8460672448 ,42.0584560192 
kodim04,29.0218949190 ,29.8641893804 ,30.7584240093 ,31.8551975262 ,33.2734474437 ,35.3458755077 ,37.4687527068 ,38.9650493783 ,40.4421149889 
kodim05,24.6257707837 ,26.2521522566 ,27.6339176445 ,29.3029897328 ,31.0995619421 ,33.7568151193 ,36.1266530120 ,37.9321227758 ,39.5767420374 
kodim06,26.0820227077 ,27.3716340257 ,28.6157212043 ,30.2003711454 ,31.9657309235 ,34.5619691660 ,36.9040038523 ,38.6915910862 ,40.2531840504 
kodim07,29.4623798699 ,30.7130172474 ,31.9326594434 ,33.2698430239 ,34.8317698896 ,36.9025262177 ,38.8683923417 ,40.4787681813 ,41.7929149984 
kodim08,23.9845796768 ,25.7725665906 ,27.1610154054 ,29.0115119118 ,30.6555312079 ,33.3342090475 ,35.6678348247 ,37.5383600488 ,39.1790324679 
kodim09,30.2215017450 ,31.4388907434 ,32.4284218292 ,33.7484065724 ,35.1615458599 ,37.0508690884 ,38.6649092610 ,39.8064127280 ,40.7730482080 
kodim10,29.5121684908 ,30.8749158780 ,31.9935304791 ,33.2286383430 ,34.6597981285 ,36.5023828462 ,38.3057995080 ,39.6249510781 ,40.8023729207 
kodim11,27.2754091033 ,28.3501515594 ,29.4818810693 ,30.9031991988 ,32.4160927089 ,34.7556226208 ,37.0745925620 ,38.8908667367 ,40.4835378535 
kodim12,30.3104083842 ,31.2348746856 ,32.0001580410 ,32.9761417630 ,34.3160620330 ,36.2607299379 ,38.3114709707 ,39.8134370677 ,41.1948019330 
kodim13,22.3230805472 ,23.7035281510 ,25.0759739377 ,27.0837703084 ,28.9113654785 ,32.3588635229 ,35.0118707638 ,37.0689535097 ,38.7406294079 
kodim14,25.9620610912 ,27.1907281232 ,28.3093474471 ,29.7001629965 ,31.3701741837 ,33.8179864189 ,36.2244612606 ,38.0927125100 ,39.7901252157 
kodim15,29.3450852533 ,30.1522844778 ,31.0081576914 ,32.0853268055 ,33.5242175099 ,35.7259211016 ,37.7249407054 ,39.2981649413 ,40.7256915838 
kodim16,28.5406037876 ,29.5096489347 ,30.5110274399 ,31.7881976141 ,33.4387319171 ,35.7210777455 ,37.9773901027 ,39.6696833179 ,41.1667928348 
kodim17,29.0582086092 ,30.1335168551 ,31.2142744309 ,32.6272103144 ,34.0935848706 ,36.1026883803 ,38.0930602672 ,39.5174319930 ,40.8932226910 
kodim18,25.3108516002 ,26.4230107792 ,27.6992113252 ,29.3691091982 ,31.0902416187 ,33.6399819715 ,35.8324177812 ,37.4948670137 ,39.1122190895 
kodim19,27.8243332125 ,28.8996658882 ,29.8495195659 ,30.9567300407 ,32.5442075276 ,34.9767516628 ,37.2359949146 ,38.8790277032 ,40.3176134242 
kodim20,29.6399369903 ,30.8056966590 ,31.7244506363 ,32.8910968211 ,34.3696604402 ,36.5317695060 ,38.5434085719 ,39.9280195427 ,41.0779533709 
kodim21,26.7381733206 ,28.0861558302 ,29.2846839172 ,30.8225097953 ,32.5450539049 ,34.9779959855 ,37.1385130302 ,38.6986808923 ,40.0033665815 
kodim22,27.5139777048 ,28.3623961070 ,29.2543136117 ,30.4752745533 ,32.0447955363 ,34.3313593012 ,36.5840149996 ,38.1950306451 ,39.7424717116 
kodim23,30.8849251820 ,32.2204421606 ,33.1899248078 ,34.3509781135 ,35.7743748175 ,37.5541312976 ,39.2163611810 ,40.4147901549 ,41.5150043755 
kodim24,24.6622696279 ,26.0300206495 ,27.4873644198 ,29.3399417220 ,31.0565232707 ,33.8781784362 ,36.1098283956 ,37.8858408759 ,39.4514604531 
Average,27.6408919317 ,28.8015125080 ,29.8943127647 ,31.2768664283 ,32.8507394913 ,35.1737076627 ,37.3182032634 ,38.9376571067 ,40.3777188479 
