lambda,0.5,0.4,0.3,0.2,0.1,0.05,0.03,0.017,0.01
kodim01,0.2072550456 ,0.2737223307 ,0.3538411458 ,0.4720255534 ,0.6980794271 ,0.9626668294 ,1.2163696289 ,1.5959676107 ,2.0296223958 
kodim02,0.1297403971 ,0.1779174805 ,0.2447509766 ,0.3647054036 ,0.5907592773 ,0.8501993815 ,1.0902303060 ,1.4647013346 ,1.9311116536 
kodim03,0.1000976563 ,0.1307169596 ,0.1745402018 ,0.2442423503 ,0.3841552734 ,0.5628662109 ,0.7348836263 ,0.9865112305 ,1.2935180664 
kodim04,0.1405436198 ,0.1866048177 ,0.2507120768 ,0.3526000977 ,0.5498046875 ,0.7658081055 ,0.9745686849 ,1.3238728841 ,1.7498575846 
kodim05,0.2409261068 ,0.3096720378 ,0.4004516602 ,0.5244140625 ,0.7500406901 ,0.9841308594 ,1.2121582031 ,1.5263264974 ,1.9021402995 
kodim06,0.1779174805 ,0.2313028971 ,0.3019612630 ,0.4124552409 ,0.6173706055 ,0.8473510742 ,1.0796915690 ,1.4229532878 ,1.8205566406 
kodim07,0.1325887044 ,0.1653442383 ,0.2112223307 ,0.2845458984 ,0.4222615560 ,0.5839029948 ,0.7453206380 ,0.9705810547 ,1.2616984049 
kodim08,0.2084960938 ,0.2635091146 ,0.3308715820 ,0.4529215495 ,0.6829020182 ,0.9317423503 ,1.1766967773 ,1.5317382813 ,1.9692179362 
kodim09,0.0975545247 ,0.1235961914 ,0.1571248372 ,0.2174072266 ,0.3727010091 ,0.6061197917 ,0.7867024740 ,1.0998128255 ,1.5345865885 
kodim10,0.1200154622 ,0.1531168620 ,0.1960042318 ,0.2718302409 ,0.4402669271 ,0.6572469076 ,0.8362019857 ,1.1391398112 ,1.5498453776 
kodim11,0.1637166341 ,0.2118530273 ,0.2809855143 ,0.3915812174 ,0.5905558268 ,0.8246866862 ,1.0506184896 ,1.3866577148 ,1.7873331706 
kodim12,0.1126912435 ,0.1484171549 ,0.1981201172 ,0.2915242513 ,0.4629109701 ,0.6801147461 ,0.8786010742 ,1.1712239583 ,1.5396728516 
kodim13,0.2630004883 ,0.3489583333 ,0.4512532552 ,0.5871988932 ,0.8521118164 ,1.1295572917 ,1.4302164714 ,1.8983968099 ,2.4192708333 
kodim14,0.2141520182 ,0.2770589193 ,0.3634033203 ,0.4866739909 ,0.7145589193 ,0.9533691406 ,1.1931762695 ,1.5517985026 ,1.9655965169 
kodim15,0.1110839844 ,0.1473999023 ,0.1996053060 ,0.2843831380 ,0.4534505208 ,0.6618448893 ,0.8737182617 ,1.1994222005 ,1.6115519206 
kodim16,0.1398925781 ,0.1813557943 ,0.2371622721 ,0.3319295247 ,0.5094197591 ,0.7182210286 ,0.9243774414 ,1.2275390625 ,1.5872802734 
kodim17,0.1383666992 ,0.1769612630 ,0.2269083659 ,0.3063151042 ,0.4666341146 ,0.6665242513 ,0.8429565430 ,1.1205444336 ,1.4954833984 
kodim18,0.2088623047 ,0.2713623047 ,0.3542277018 ,0.4802652995 ,0.7217814128 ,0.9713745117 ,1.2191772461 ,1.6307779948 ,2.1300862630 
kodim19,0.1504313151 ,0.1951293945 ,0.2557576497 ,0.3500773112 ,0.5460205078 ,0.7720336914 ,0.9841918945 ,1.3159790039 ,1.7438557943 
kodim20,0.0959065755 ,0.1239217122 ,0.1629842122 ,0.2219238281 ,0.3542480469 ,0.5476684570 ,0.7494710286 ,1.0453694661 ,1.4121500651 
kodim21,0.1443684896 ,0.1857096354 ,0.2396240234 ,0.3260498047 ,0.5155436198 ,0.7705891927 ,0.9896850586 ,1.3381144206 ,1.7894694010 
kodim22,0.1821492513 ,0.2400512695 ,0.3186645508 ,0.4402262370 ,0.6699015299 ,0.9253336589 ,1.1623128255 ,1.5476888021 ,2.0204467773 
kodim23,0.1014811198 ,0.1265665690 ,0.1626790365 ,0.2272542318 ,0.3571573893 ,0.5448404948 ,0.7125651042 ,0.9675496419 ,1.3350016276 
kodim24,0.1934407552 ,0.2499796549 ,0.3249918620 ,0.4361775716 ,0.6442871094 ,0.8770345052 ,1.0958455404 ,1.4342244466 ,1.8364868164 
Average,0.1572782728 ,0.2041761610 ,0.2665769789 ,0.3649470011 ,0.5569551256 ,0.7831344604 ,0.9983223809 ,1.3290371365 ,1.7381600274 
