lambda,0.5,0.4,0.3,0.2,0.1,0.05,0.03,0.017,0.01
kodim01,24.0322449700 ,24.6465046825 ,25.1062436672 ,26.2478933321 ,27.4166419272 ,28.9645455095 ,30.0585869152 ,32.0064689650 ,33.9965102876 
kodim02,28.1764043324 ,28.3821254771 ,28.8181120120 ,29.0198540641 ,30.2122374149 ,31.4701669702 ,32.0492538297 ,34.2835915604 ,35.8540055801 
kodim03,29.7552393091 ,30.4286338630 ,31.0238551060 ,31.7105947455 ,32.4946804467 ,33.9407117274 ,34.4923972307 ,36.0443719613 ,37.4051997982 
kodim04,27.8198226539 ,28.6388115885 ,29.0968299879 ,29.7349205012 ,30.8506526644 ,32.5316238095 ,33.5364192507 ,34.9428611976 ,36.1261590815 
kodim05,23.8298012811 ,24.6218278011 ,25.5296837648 ,26.3675055807 ,27.7177582120 ,29.1400153376 ,30.3027549550 ,31.9964437465 ,33.6168621982 
kodim06,24.4532019367 ,25.4629165171 ,26.1216096279 ,26.9373492827 ,28.3616514096 ,29.7915460170 ,30.7288494012 ,33.0236713595 ,34.6266404979 
kodim07,28.2907141519 ,29.0054505935 ,29.6001697656 ,30.4656896252 ,31.3608007322 ,33.1337652281 ,33.8248979858 ,35.4123895810 ,36.7892557798 
kodim08,21.8139682335 ,22.5302443013 ,22.8919070719 ,24.2684850923 ,25.7453734002 ,27.5684588649 ,28.8362171510 ,30.6921612289 ,32.3047811496 
kodim09,28.3985776835 ,29.2927108211 ,29.3486916339 ,30.3033136320 ,31.4695215149 ,33.5346641472 ,34.6414182237 ,35.4107447069 ,36.3650503486 
kodim10,27.5626832382 ,28.8298540348 ,29.3742415275 ,30.1404064644 ,31.3503433963 ,33.3780242108 ,34.5011299346 ,35.5707308608 ,36.4542449778 
kodim11,26.5120125274 ,27.0520128869 ,27.5713256753 ,28.4611789488 ,29.3999155514 ,31.1522472425 ,32.1010125195 ,34.0058933375 ,35.7096327827 
kodim12,26.9174506473 ,28.1153175629 ,28.5542874148 ,29.2555570838 ,30.2508075788 ,32.2873151714 ,33.5795874544 ,35.3367520589 ,37.3654007659 
kodim13,21.5097221157 ,22.2090682367 ,22.7866608189 ,23.3329751449 ,24.4536852989 ,25.9026406258 ,27.2231211742 ,29.5991744044 ,31.8281103827 
kodim14,25.8177784947 ,26.4515828906 ,27.2898636226 ,28.0124809856 ,29.1534872120 ,30.3900630839 ,31.5037702369 ,33.1440984714 ,34.5981651689 
kodim15,26.4722681404 ,26.9953056434 ,27.7899363321 ,28.0527063509 ,28.3528421553 ,30.1629651334 ,31.7363792843 ,33.9222382259 ,35.3573978146 
kodim16,28.6951262415 ,29.0847663570 ,29.5126781343 ,30.4329184899 ,31.4977418302 ,32.6810633616 ,33.4019623597 ,35.0563404318 ,36.2208235156 
kodim17,28.0872260678 ,28.9038247190 ,29.5626939430 ,30.2584897162 ,30.9093478724 ,33.9078694641 ,34.8350849670 ,36.6965192185 ,38.2710603545 
kodim18,25.3831295601 ,25.9799732669 ,26.5737523270 ,27.1563599935 ,28.2794761467 ,29.4379061567 ,30.6133967016 ,32.3077436325 ,33.9838950872 
kodim19,26.7653657681 ,27.1391947124 ,27.5374655582 ,29.2010808383 ,30.6767657042 ,32.3922823061 ,33.4754978170 ,35.1933045402 ,36.7153997472 
kodim20,27.2191856850 ,27.6711270226 ,28.1465249736 ,28.5573506150 ,29.6461328890 ,31.8470281348 ,32.9597816481 ,34.7602476069 ,36.1456109564 
kodim21,26.0387728645 ,26.5897736086 ,27.1071709560 ,27.8953359483 ,29.0446298963 ,30.4013025627 ,31.4654369283 ,33.2235707317 ,34.8902223855 
kodim22,27.6411121063 ,28.2127323927 ,28.8229872576 ,29.5345639682 ,30.6421781106 ,32.0036006959 ,32.8688441185 ,34.4192579477 ,35.9986642868 
kodim23,30.1330171645 ,30.8936478655 ,31.5572164882 ,32.2229510415 ,33.0292861700 ,34.3847266856 ,34.9811394376 ,35.9958199836 ,37.1260646825 
kodim24,24.4098422113 ,25.0010416933 ,25.5868948962 ,26.1141083099 ,27.3896388556 ,28.7193377576 ,29.9155526819 ,31.7022684465 ,33.3354200710 
Average,26.4889444744 ,27.1724353558 ,27.7212834401 ,28.4868362398 ,29.5710665162 ,31.2134945919 ,32.2346871753 ,33.9477776752 ,35.4618574042 
